@relation HW8_ionosphere

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute CLASS {1,2}

@data
0.347937,0,0.711357,-0.233923,0.483517,-0.201447,0.576236,-0.953318,0.962700,-0.297086,0.667701,-0.672148,0.316222,-1.096977,0.400107,-0.989074,0.746919,-0.768584,0.355648,-0.573895,0.382099,-0.588684,0.011568,-0.789002,0.297303,-0.866328,-0.253506,-0.712953,-0.287879,-0.616159,0.122762,-1.053550,-0.311776,-0.998170,1
0.347937,0,0.720619,-0.527058,0.633404,-1.036108,-1.337197,-2.026559,0.962700,-0.468813,0.057777,-1.682379,-0.090779,-1.597348,-1.318892,-2.282612,-0.529042,-1.245573,-0.045188,-1.880216,-0.767766,-0.890248,-0.899412,-0.568643,-1.036310,-0.382508,-1.445785,-0.208122,-0.987775,-0.173282,-0.907767,-0.115049,-0.931276,-0.083167,2
0.347937,0,0.720619,-0.176746,0.767382,-0.240965,0.913227,-0.460836,0.745075,-0.350036,0.451888,-0.205289,0.729089,-0.172052,0.309041,-0.148662,0.737518,-0.267378,0.632255,-0.118240,0.610294,-0.546767,0.118215,-0.119847,0.309698,-0.650967,0.093372,-0.276192,0.091259,-0.286910,0.440689,-0.463431,0.403867,-0.847381,1
0.347937,0,0.720619,-1.123568,0.767382,1.918601,0.328963,-2.149516,-1.009432,-0.374796,-0.845050,-0.313329,-0.644182,-0.188763,-2.058980,0.161502,0.257259,-0.784446,-2.170624,-1.003023,-1.699569,1.913874,-0.600356,0.108835,1.043935,1.923594,-0.049420,1.944525,1.079303,-0.340732,-0.167448,1.954525,-1.287987,2.104295,2
0.347937,0,0.720619,-0.154908,0.654659,-0.109761,0.752993,-0.675776,0.512107,-0.713723,0.091921,-0.723076,0.262444,-0.203151,-0.000320,-0.754198,0.238586,-0.431159,0.146392,-0.296884,-0.454022,-0.702566,-0.562113,-0.893693,-0.628013,-1.141395,-0.791819,-0.840911,-0.614940,-1.169475,-0.716703,-1.152581,-0.756593,-1.433689,1
0.347937,0,-1.241635,-0.113928,-1.347105,-0.510794,-1.132083,-0.456266,-0.719410,-0.237626,-0.777862,-0.440689,-0.644182,-0.188763,-0.597216,-0.494212,-0.623570,-0.197968,-0.758686,-0.058017,-0.521976,0.054797,-0.575197,0.125671,-0.624089,0.109808,-1.112041,0.294109,-0.793622,0.069348,-0.616840,0.007387,-0.669176,0.225542,2
0.347937,0,0.672157,-0.340689,0.663527,-0.702869,0.767202,-0.773616,0.686523,-0.939887,0.570505,-1.281948,0.613078,-1.214562,0.615968,-1.495498,0.319570,-1.363315,0.030547,-1.372410,0.043528,-1.493568,-0.072040,-1.403195,-0.290802,-1.465410,-0.784671,-1.373687,-0.577172,-1.567093,-0.691418,-1.575986,-0.933074,-1.759907,1
-2.865899,0,-1.288590,-0.100517,-1.156208,-0.251490,0.913227,-2.149516,-1.009432,-0.374796,-2.619684,-2.334276,-0.644182,-0.188763,-0.527182,-0.155185,1.000050,2.020317,-2.170624,-1.880216,-0.552115,-0.016010,-0.600356,0.108835,1.043935,2.106585,0.887941,1.944525,-0.657153,0.054938,1.132992,1.954525,-0.668430,-0.030918,2
0.347937,0,0.647384,-0.263577,0.767382,-0.562529,0.913227,-0.638484,0.962700,-1.122423,0.797729,-1.193835,0.874817,-1.010550,0.857440,-1.167052,0.972623,-0.702456,0.775996,-1.225592,0.683413,-1.185307,0.553018,-1.108801,0.786455,-1.146941,0.066116,-1.141007,-0.215486,-1.203374,0.172579,-1.409720,0.075740,-1.598592,1
0.347937,0,-1.326042,-0.292143,-1.156208,-0.251490,-1.116596,-0.229209,-0.783228,-0.928892,-1.655401,-1.084765,-0.644182,-0.188763,-1.042724,0.686972,-1.218858,0.309599,0.443725,0.472329,-0.552115,-0.016010,-0.600356,0.108835,-0.940728,0.113918,-0.649337,0.084719,-0.657153,0.054938,-0.326455,0.476375,-0.825471,0.781851,2
